"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1",1,1,109,22,1.895,">43"
"2",1,1,120,20,1.811,"40-43"
"3",1,1,94,19,1.768,"40-43"
"4",1,1,61,9,1.389,"30-34"
"5",1,1,72,17,1.726,"40-43"
"6",1,1,134,23,1.937,">43"
"7",1,1,94,20,1.811,"40-43"
"8",1,1,113,19,1.768,"40-43"
"9",1,1,111,19,1.768,"40-43"
"10",1,1,106,20,1.811,"40-43"
"11",1,1,107,23,1.937,">43"
"12",1,1,96,19,1.768,"40-43"
"13",1,1,53,9,1.389,"30-34"
"14",1,1,121,21,1.853,">43"
"15",1,1,85,21,1.853,">43"
"16",1,1,115,22,1.895,">43"
"17",1,1,109,23,1.937,">43"
"18",1,1,105,15,1.642,"35-39"
"19",1,1,93,15,1.642,"35-39"
"20",1,1,103,19,1.768,"40-43"
"21",1,1,110,21,1.853,">43"
"22",1,1,94,16,1.684,"40-43"
"23",1,4,91,19,1.768,"40-43"
"24",1,4,161,23,1.937,">43"
"25",1,4,44,4,1.179,"<30"
"26",1,4,87,16,1.684,"40-43"
"27",1,4,107,23,1.937,">43"
"28",1,4,107,17,1.726,"40-43"
"29",1,4,86,16,1.684,"40-43"
"30",1,4,91,14,1.6,"35-39"
"31",1,4,156,20,1.811,"40-43"
"32",1,4,95,20,1.811,"40-43"
"33",1,4,95,19,1.768,"40-43"
"34",1,4,98,19,1.768,"40-43"
"35",1,4,72,13,1.558,"35-39"
"36",1,4,76,15,1.642,"35-39"
"37",1,4,154,20,1.811,"40-43"
"38",1,4,34,4,1.179,"<30"
"39",1,4,125,24,1.979,">43"
"40",1,4,51,8,1.347,"30-34"
"41",1,4,83,15,1.642,"35-39"
"42",1,4,36,5,1.221,"<30"
"43",1,4,105,19,1.768,"40-43"
"44",1,4,63,12,1.516,"35-39"
"45",1,4,49,9,1.389,"30-34"
"46",1,4,91,19,1.768,"40-43"
"47",1,4,104,20,1.811,"40-43"
"48",1,4,93,22,1.895,">43"
"49",1,4,84,20,1.811,"40-43"
"50",1,4,95,20,1.811,"40-43"
"51",1,4,80,14,1.6,"35-39"
"52",1,4,74,15,1.642,"35-39"
"53",1,4,96,20,1.811,"40-43"
"54",1,4,149,21,1.853,">43"
"55",1,4,107,21,1.853,">43"
"56",1,4,98,19,1.768,"40-43"
"57",1,4,110,23,1.937,">43"
"58",1,7,115,22,1.895,">43"
"59",1,7,107,17,1.726,"40-43"
"60",1,7,105,19,1.768,"40-43"
"61",1,7,96,20,1.811,"40-43"
"62",1,7,70,13,1.558,"35-39"
"63",1,7,96,19,1.768,"40-43"
"64",1,7,127,20,1.811,"40-43"
"65",1,7,131,22,1.895,">43"
"66",1,7,104,16,1.684,"40-43"
"67",1,7,126,23,1.937,">43"
"68",1,7,83,19,1.768,"40-43"
"69",1,7,108,20,1.811,"40-43"
"70",1,7,99,19,1.768,"40-43"
"71",1,7,92,19,1.768,"40-43"
"72",1,7,103,24,1.979,">43"
"73",1,7,104,19,1.768,"40-43"
"74",1,7,107,19,1.768,"40-43"
"75",1,7,120,22,1.895,">43"
"76",1,7,112,20,1.811,"40-43"
"77",1,7,97,17,1.726,"40-43"
"78",1,7,94,19,1.768,"40-43"
"79",1,7,92,16,1.684,"40-43"
"80",1,10,123,21,1.853,">43"
"81",1,10,72,9,1.389,"30-34"
"82",1,10,92,16,1.684,"40-43"
"83",1,10,75,14,1.6,"35-39"
"84",1,10,110,23,1.937,">43"
"85",1,10,97,20,1.811,"40-43"
"86",1,10,93,17,1.726,"40-43"
"87",1,10,88,20,1.811,"40-43"
"88",1,10,82,19,1.768,"40-43"
"89",1,10,101,20,1.811,"40-43"
"90",1,10,110,17,1.726,"40-43"
"91",1,10,75,13,1.558,"35-39"
"92",1,10,81,16,1.684,"40-43"
"93",1,10,99,20,1.811,"40-43"
"94",1,10,103,20,1.811,"40-43"
"95",1,10,114,23,1.937,">43"
"96",1,10,101,23,1.937,">43"
"97",1,10,77,19,1.768,"40-43"
"98",1,10,125,24,1.979,">43"
"99",1,10,90,15,1.642,"35-39"
"100",2,1,148,22,1.895,">43"
"101",2,1,110,22,1.895,">43"
"102",2,1,110,17,1.726,"40-43"
"103",2,1,97,17,1.726,"40-43"
"104",2,1,136,22,1.895,">43"
"105",2,1,115,20,1.811,"40-43"
"106",2,1,101,19,1.768,"40-43"
"107",2,1,158,24,1.979,">43"
"108",2,1,67,12,1.516,"35-39"
"109",2,1,114,19,1.768,"40-43"
"110",2,1,62,11,1.474,"35-39"
"111",2,1,67,12,1.516,"35-39"
"112",2,1,121,22,1.895,">43"
"113",2,1,47,9,1.389,"30-34"
"114",2,1,82,13,1.558,"35-39"
"115",2,1,79,14,1.6,"35-39"
"116",2,1,119,23,1.937,">43"
"117",2,1,111,17,1.726,"40-43"
"118",2,1,47,8,1.347,"30-34"
"119",2,1,75,15,1.642,"35-39"
"120",2,1,60,11,1.474,"35-39"
"121",2,1,104,22,1.895,">43"
"122",2,4,133,23,1.937,">43"
"123",2,4,134,24,1.979,">43"
"124",2,4,73,21,1.853,">43"
"125",2,4,121,21,1.853,">43"
"126",2,4,73,15,1.642,"35-39"
"127",2,4,86,19,1.768,"40-43"
"128",2,4,63,16,1.684,"40-43"
"129",2,4,84,17,1.726,"40-43"
"130",2,4,129,23,1.937,">43"
"131",2,4,106,22,1.895,">43"
"132",2,4,90,16,1.684,"40-43"
"133",2,4,62,14,1.6,"35-39"
"134",2,4,70,15,1.642,"35-39"
"135",2,4,86,21,1.853,">43"
"136",2,4,99,19,1.768,"40-43"
